"","obs_id","julian","jul_id","year","ndvi","lat","lon"
"1",2156,232,1,2007,NA,43.45,-79.6833
"2",2295,236,2,2007,NA,43.9833,-80.7333
"3",1811,257,3,2007,NA,42.0332,-83.05
"4",1005,258,4,2007,0.195703059434891,38.4151,-95.2586
"5",1380,259,5,2007,NA,40.8748,-85.1449
"6",1257,259,5,2007,0.185166299343109,40.1274,-88.1798
"7",1245,259,5,2007,0.112300001084805,40.0108,-88.9658
"8",1068,259,5,2007,0.154597714543343,38.8823,-94.818
"9",1315,260,6,2007,NA,40.5314,-88.1146
"10",1036,265,7,2007,NA,38.6314,-90.1922
"11",1124,265,7,2007,0.147762954235077,39.1039,-94.6006
"12",1944,266,8,2007,NA,42.6865,-92.6136
"13",818,267,9,2007,0.345591068267822,35.8376,-100.27
"14",1141,268,10,2007,0.425392776727676,39.302,-94.2233
"15",941,268,10,2007,0.47938072681427,37.6864,-97.3349
"16",879,269,11,2007,0.382093340158463,36.7614,-98.3688
"17",804,271,12,2007,0.43153503537178,35.6748,-90.006
"18",822,271,12,2007,0.372717052698135,35.9139,-98.0227
"19",684,271,12,2007,0.45225515961647,33.6561,-98.4696
"20",775,271,12,2007,0.346828311681747,35.4256,-99.4691
"21",889,272,13,2007,NA,36.9675,-91.7183
"22",913,272,13,2007,0.120595701038837,37.2153,-93.295
"23",937,272,13,2007,0.162285670638084,37.6378,-95.2503
"24",812,272,13,2007,0.398209989070892,35.7743,-97.9094
"25",833,274,14,2007,0.432020902633667,35.9804,-97.9144
"26",839,275,15,2007,0.265766531229019,36.0479,-90.2943
"27",648,275,15,2007,0.35456445813179,33.1967,-99.9023
"28",558,275,15,2007,0.373291045427322,32.5053,-100.3054
"29",829,276,16,2007,0.337243795394897,35.9231,-90.3441
"30",928,276,16,2007,0.17968587577343,37.5115,-94.2682
"31",743,277,17,2007,0.401439756155014,34.5213,-100.2112
"32",646,277,17,2007,0.455079078674316,33.1797,-101.2981
"33",840,279,18,2007,0.280774652957916,36.0679,-90.0636
"34",758,280,19,2007,0.339567929506302,35.2469,-97.4623
"35",778,280,19,2007,0.387581378221512,35.4675,-97.5161
"36",475,280,19,2007,0.425607949495316,31.8744,-100.344
"37",454,280,19,2007,0.446917921304703,31.5792,-100.5472
"38",710,281,20,2007,0.432152897119522,33.9512,-98.4599
"39",438,281,20,2007,0.505084276199341,31.4636,-100.4367
"40",629,283,21,2007,0.329688280820847,33.0486,-91.5785
"41",346,284,22,2007,0.463267534971237,30.4983,-100.5378
"42",596,285,23,2007,0.199381873011589,32.7876,-96.7995
"43",739,285,23,2007,0.383895128965378,34.4543,-98.9904
"44",424,285,23,2007,0.422255218029022,31.3222,-100.9485
"45",374,285,23,2007,0.440228283405304,30.723,-101.4116
"46",493,285,23,2007,0.402090609073639,31.9916,-102.0808
"47",561,287,24,2007,0.455053150653839,32.5886,-98.185
"48",560,288,25,2007,0.237746000289917,32.5668,-97.1384
"49",292,290,26,2007,0.253755033016205,29.9076,-98.9988
"50",27,290,26,2007,0.28151199221611,24.818,-100.093
"51",157,290,26,2007,0.335810363292694,28.583,-100.2559
"52",331,291,27,2007,0.261669993400574,30.3154,-98.9137
"53",75,291,27,2007,0.24238857626915,25.67,-100.32
